Project Key,Generation Unit ID,FQN,InputPartition,Failure Type,Failure Root Cause,Rationale
compress,TarUtils_computeCheckSum_byteArray_r0_null_empty_boundary,org.apache.commons.compress.archivers.tar.TarUtils.computeCheckSum(byte[]),null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_computeCheckSum_byteArray_r0_null_empty_boundary_Test::testComputeCheckSumWithNegativeByteValues junit.framework.AssertionFailedError: expected:<252> but was:<762> at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_computeCheckSum_byteArray_r0_nominal_stateful,org.apache.commons.compress.archivers.tar.TarUtils.computeCheckSum(byte[]),nominal-stateful,oracle,org.apache.commons.compress.archivers.tar.TarUtils_computeCheckSum_byteArray_r0_nominal_stateful_Test::testComputeCheckSum_NegativeBytes junit.framework.AssertionFailedError: expected:<253> but was:<762> at org.junit.Assert.fail(Assert.java:88) at org.junit.Assert.failNotEquals(Assert.java:834)...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_computeCheckSum_byteArray_r0_exception_invalid,org.apache.commons.compress.archivers.tar.TarUtils.computeCheckSum(byte[]),exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_computeCheckSum_byteArray_r0_exception_invalid_Test::testComputeCheckSumWithMixedBytes junit.framework.AssertionFailedError: expected:<255> but was:<261> at org.junit.Assert.fail(Assert.java:88) at org.junit.Assert.failNotEquals(Assert.java:834)...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatCheckSumOctalBytes_long_byteArray_int_int_r0_nominal_stateful,"org.apache.commons.compress.archivers.tar.TarUtils.formatCheckSumOctalBytes(long,byte[],int,int)",nominal-stateful,oracle,"org.apache.commons.compress.archivers.tar.TarUtils_formatCheckSumOctalBytes_long_byteArray_int_int_r0_nominal_stateful_Test::testFormatCheckSumOctalBytes junit.framework.AssertionFailedError: array lengths differed, expected.length=10 actual.length=12 at org.junit.Assert.fail(Assert.java:88) at...",Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatCheckSumOctalBytes_long_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.formatCheckSumOctalBytes(long,byte[],int,int)",exception-invalid,runtime,"org.apache.commons.compress.archivers.tar.TarUtils_formatCheckSumOctalBytes_long_byteArray_int_int_r0_exception_invalid_Test::testFormatCheckSumOctalBytes_NegativeOffset java.lang.Exception: Unexpected exception, expected<java.lang.IllegalArgumentException> but...",Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatLongOctalBytes_long_byteArray_int_int_r0_null_empty_boundary,"org.apache.commons.compress.archivers.tar.TarUtils.formatLongOctalBytes(long,byte[],int,int)",null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatLongOctalBytes_long_byteArray_int_int_r0_null_empty_boundary_Test::testFormatLongOctalBytesWithExactBufferSize junit.framework.AssertionFailedError: expected:<49> but was:<48> at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatLongOctalBytes_long_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.formatLongOctalBytes(long,byte[],int,int)",exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatLongOctalBytes_long_byteArray_int_int_r0_exception_invalid_Test::testFormatLongOctalBytes_ValidInput junit.framework.AssertionFailedError: expected:<32> but was:<48> at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatLongOctalOrBinaryBytes_long_byteArray_int_int_r0_null_empty_boundary,"org.apache.commons.compress.archivers.tar.TarUtils.formatLongOctalOrBinaryBytes(long,byte[],int,int)",null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatLongOctalOrBinaryBytes_long_byteArray_int_int_r0_null_empty_boundary_Test::testFormatLongOctalOrBinaryBytes_ZeroValue junit.framework.AssertionFailedError: expected:<-128> but was:<48> at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatLongOctalOrBinaryBytes_long_byteArray_int_int_r0_nominal_stateful,"org.apache.commons.compress.archivers.tar.TarUtils.formatLongOctalOrBinaryBytes(long,byte[],int,int)",nominal-stateful,oracle,"org.apache.commons.compress.archivers.tar.TarUtils_formatLongOctalOrBinaryBytes_long_byteArray_int_int_r0_nominal_stateful_Test::testFormatLongOctalOrBinaryBytes_Octal junit.framework.AssertionFailedError: array lengths differed, expected.length=8 actual.length=10 at...",Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatLongOctalOrBinaryBytes_long_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.formatLongOctalOrBinaryBytes(long,byte[],int,int)",exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatLongOctalOrBinaryBytes_long_byteArray_int_int_r0_exception_invalid_Test::testFormatLongOctalOrBinaryBytes_ValidOctal junit.framework.AssertionFailedError: arrays first differed at element [0]; expected:<49> but was:<48> at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
