FQN,Signature,Jimple Code Representation,Method Source,Field Context,Constructor/Helper Signatures,Throws/Modifiers
org.apache.commons.codec.binary.StringUtils.<init>(),void <init>(),"{
    org.apache.commons.codec.binary.StringUtils this;


    this := @this: org.apache.commons.codec.binary.StringUtils;
    specialinvoke this.<java.lang.Object: void <init>()>();

    return;
}
",unavailable,unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",source declaration unavailable
"org.apache.commons.codec.binary.StringUtils.equals(java.lang.CharSequence,java.lang.CharSequence)","boolean equals(java.lang.CharSequence,java.lang.CharSequence)","{
    java.lang.CharSequence cs1, cs2;
    unknown $stack2, $stack3, $stack4, $stack5, $stack6, $stack7, $stack8;


    cs1 := @parameter0: java.lang.CharSequence;
    cs2 := @parameter1: java.lang.CharSequence;

    if cs1 != cs2 goto label1;

    return 1;

  label1:
    if cs1 == null goto label2;

    if cs2 != null goto label3;

  label2:
    return 0;

  label3:
    $stack2 = cs1 instanceof java.lang.String;

    if $stack2 == 0 goto label4;
    $stack7 = cs2 instanceof java.lang.String;

    if $stack7 == 0 goto label4;
    $stack8 = virtualinvoke cs1.<java.lang.Object: boolean equals(java.lang.Object)>(cs2);

    return $stack8;

  label4:
    $stack4 = interfaceinvoke cs1.<java.lang.CharSequence: int length()>();
    $stack3 = interfaceinvoke cs2.<java.lang.CharSequence: int length()>();
    $stack5 = staticinvoke <java.lang.Math: int max(int,int)>($stack4, $stack3);
    $stack6 = staticinvoke <org.apache.commons.codec.binary.CharSequenceUtils: boolean regionMatches(java.lang.CharSequence,boolean,int,java.lang.CharSequence,int,int)>(cs1, 0, 0, cs2, 0, $stack5);

    return $stack6;
}
","/**
 * <p>
 * Compares two CharSequences, returning <code>true</code> if they represent equal sequences of characters.
 * </p>
 *
 * <p>
 * <code>null</code>s are handled without exceptions. Two <code>null</code> references are considered to be equal.
 * The comparison is case sensitive.
 * </p>
 *
 * <pre>
 * StringUtils.equals(null, null)   = true
 * StringUtils.equals(null, ""abc"")  = false
 * StringUtils.equals(""abc"", null)  = false
 * StringUtils.equals(""abc"", ""abc"") = true
 * StringUtils.equals(""abc"", ""ABC"") = false
 * </pre>
 *
 * <p>
 * Copied from Apache Commons Lang r1583482 on April 10, 2014 (day of 3.3.2 release).
 * </p>
 *
 * @see Object#equals(Object)
 * @param cs1
 *            the first CharSequence, may be <code>null</code>
 * @param cs2
 *            the second CharSequence, may be <code>null</code>
 * @return <code>true</code> if the CharSequences are equal (case-sensitive), or both <code>null</code>
 * @since 1.10
 */
public static boolean equals(final CharSequence cs1, final CharSequence cs2) {
    if (cs1 == cs2) {
        return true;
    }
    if (cs1 == null || cs2 == null) {
        return false;
    }
    if (cs1 instanceof String && cs2 instanceof String) {
        return cs1.equals(cs2);
    }
    return CharSequenceUtils.regionMatches(cs1, false, 0, cs2, 0, Math.max(cs1.length(), cs2.length()));
}",unavailable,"getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
"org.apache.commons.codec.binary.StringUtils.getByteBuffer(java.lang.String,java.nio.charset.Charset)","java.nio.ByteBuffer getByteBuffer(java.lang.String,java.nio.charset.Charset)","{
    java.lang.String string;
    java.nio.charset.Charset charset;
    unknown $stack2, $stack3;


    string := @parameter0: java.lang.String;
    charset := @parameter1: java.nio.charset.Charset;

    if string != null goto label1;

    return null;

  label1:
    $stack2 = virtualinvoke string.<java.lang.String: byte[] getBytes(java.nio.charset.Charset)>(charset);
    $stack3 = staticinvoke <java.nio.ByteBuffer: java.nio.ByteBuffer wrap(byte[])>($stack2);

    return $stack3;
}
","/**
 * Calls {@link String#getBytes(Charset)}
 *
 * @param string
 *            The string to encode (if null, return null).
 * @param charset
 *            The {@link Charset} to encode the <code>String</code>
 * @return the encoded bytes
 * @since 1.11
 */
private static ByteBuffer getByteBuffer(final String string, final Charset charset) {
    if (string == null) {
        return null;
    }
    return ByteBuffer.wrap(string.getBytes(charset));
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",private static
org.apache.commons.codec.binary.StringUtils.getByteBufferUtf8(java.lang.String),java.nio.ByteBuffer getByteBufferUtf8(java.lang.String),"{
    java.lang.String string;
    unknown $stack1, $stack2;


    string := @parameter0: java.lang.String;
    $stack1 = <org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_8>;
    $stack2 = staticinvoke <org.apache.commons.codec.binary.StringUtils: java.nio.ByteBuffer getByteBuffer(java.lang.String,java.nio.charset.Charset)>(string, $stack1);

    return $stack2;
}
","/**
 * Encodes the given string into a byte buffer using the UTF-8 charset, storing the result into a new byte
 * array.
 *
 * @param string
 *            the String to encode, may be <code>null</code>
 * @return encoded bytes, or <code>null</code> if the input string was <code>null</code>
 * @throws NullPointerException
 *             Thrown if {@link Charsets#UTF_8} is not initialized, which should never happen since it is
 *             required by the Java platform specification.
 * @see <a href=""http://download.oracle.com/javase/6/docs/api/java/nio/charset/Charset.html"">Standard charsets</a>
 * @see #getBytesUnchecked(String, String)
 * @since 1.11
 */
public static ByteBuffer getByteBufferUtf8(final String string) {
    return getByteBuffer(string, Charsets.UTF_8);
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
"org.apache.commons.codec.binary.StringUtils.getBytes(java.lang.String,java.nio.charset.Charset)","byte[] getBytes(java.lang.String,java.nio.charset.Charset)","{
    java.lang.String string;
    java.nio.charset.Charset charset;
    unknown $stack2;


    string := @parameter0: java.lang.String;
    charset := @parameter1: java.nio.charset.Charset;

    if string != null goto label1;

    return null;

  label1:
    $stack2 = virtualinvoke string.<java.lang.String: byte[] getBytes(java.nio.charset.Charset)>(charset);

    return $stack2;
}
","/**
 * Calls {@link String#getBytes(Charset)}
 *
 * @param string
 *            The string to encode (if null, return null).
 * @param charset
 *            The {@link Charset} to encode the <code>String</code>
 * @return the encoded bytes
 */
private static byte[] getBytes(final String string, final Charset charset) {
    if (string == null) {
        return null;
    }
    return string.getBytes(charset);
}",unavailable,"equals(CharSequence, CharSequence) | public static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",private static
org.apache.commons.codec.binary.StringUtils.getBytesIso8859_1(java.lang.String),byte[] getBytesIso8859_1(java.lang.String),"{
    java.lang.String string;
    unknown $stack1, $stack2;


    string := @parameter0: java.lang.String;
    $stack1 = <org.apache.commons.codec.Charsets: java.nio.charset.Charset ISO_8859_1>;
    $stack2 = staticinvoke <org.apache.commons.codec.binary.StringUtils: byte[] getBytes(java.lang.String,java.nio.charset.Charset)>(string, $stack1);

    return $stack2;
}
","/**
 * Encodes the given string into a sequence of bytes using the ISO-8859-1 charset, storing the result into a new
 * byte array.
 *
 * @param string
 *            the String to encode, may be <code>null</code>
 * @return encoded bytes, or <code>null</code> if the input string was <code>null</code>
 * @throws NullPointerException
 *             Thrown if {@link Charsets#ISO_8859_1} is not initialized, which should never happen since it is
 *             required by the Java platform specification.
 * @since As of 1.7, throws {@link NullPointerException} instead of UnsupportedEncodingException
 * @see <a href=""http://download.oracle.com/javase/6/docs/api/java/nio/charset/Charset.html"">Standard charsets</a>
 * @see #getBytesUnchecked(String, String)
 */
public static byte[] getBytesIso8859_1(final String string) {
    return getBytes(string, Charsets.ISO_8859_1);
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
"org.apache.commons.codec.binary.StringUtils.getBytesUnchecked(java.lang.String,java.lang.String)","byte[] getBytesUnchecked(java.lang.String,java.lang.String)","{
    java.lang.String charsetName, string;
    unknown $stack3, $stack4, $stack5, e;


    string := @parameter0: java.lang.String;
    charsetName := @parameter1: java.lang.String;

    if string != null goto label1;

    return null;

  label1:
    $stack3 = virtualinvoke string.<java.lang.String: byte[] getBytes(java.lang.String)>(charsetName);

  label2:
    return $stack3;

  label3:
    $stack4 := @caughtexception;
    e = $stack4;
    $stack5 = staticinvoke <org.apache.commons.codec.binary.StringUtils: java.lang.IllegalStateException newIllegalStateException(java.lang.String,java.io.UnsupportedEncodingException)>(charsetName, e);

    throw $stack5;

 catch java.io.UnsupportedEncodingException from label1 to label2 with label3;
}
","/**
 * Encodes the given string into a sequence of bytes using the named charset, storing the result into a new byte
 * array.
 * <p>
 * This method catches {@link UnsupportedEncodingException} and rethrows it as {@link IllegalStateException}, which
 * should never happen for a required charset name. Use this method when the encoding is required to be in the JRE.
 * </p>
 *
 * @param string
 *            the String to encode, may be <code>null</code>
 * @param charsetName
 *            The name of a required {@link java.nio.charset.Charset}
 * @return encoded bytes, or <code>null</code> if the input string was <code>null</code>
 * @throws IllegalStateException
 *             Thrown when a {@link UnsupportedEncodingException} is caught, which should never happen for a
 *             required charset name.
 * @see CharEncoding
 * @see String#getBytes(String)
 */
public static byte[] getBytesUnchecked(final String string, final String charsetName) {
    if (string == null) {
        return null;
    }
    try {
        return string.getBytes(charsetName);
    } catch (final UnsupportedEncodingException e) {
        throw StringUtils.newIllegalStateException(charsetName, e);
    }
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
org.apache.commons.codec.binary.StringUtils.getBytesUsAscii(java.lang.String),byte[] getBytesUsAscii(java.lang.String),"{
    java.lang.String string;
    unknown $stack1, $stack2;


    string := @parameter0: java.lang.String;
    $stack1 = <org.apache.commons.codec.Charsets: java.nio.charset.Charset US_ASCII>;
    $stack2 = staticinvoke <org.apache.commons.codec.binary.StringUtils: byte[] getBytes(java.lang.String,java.nio.charset.Charset)>(string, $stack1);

    return $stack2;
}
","/**
 * Encodes the given string into a sequence of bytes using the US-ASCII charset, storing the result into a new byte
 * array.
 *
 * @param string
 *            the String to encode, may be <code>null</code>
 * @return encoded bytes, or <code>null</code> if the input string was <code>null</code>
 * @throws NullPointerException
 *             Thrown if {@link Charsets#US_ASCII} is not initialized, which should never happen since it is
 *             required by the Java platform specification.
 * @since As of 1.7, throws {@link NullPointerException} instead of UnsupportedEncodingException
 * @see <a href=""http://download.oracle.com/javase/6/docs/api/java/nio/charset/Charset.html"">Standard charsets</a>
 * @see #getBytesUnchecked(String, String)
 */
public static byte[] getBytesUsAscii(final String string) {
    return getBytes(string, Charsets.US_ASCII);
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
org.apache.commons.codec.binary.StringUtils.getBytesUtf16(java.lang.String),byte[] getBytesUtf16(java.lang.String),"{
    java.lang.String string;
    unknown $stack1, $stack2;


    string := @parameter0: java.lang.String;
    $stack1 = <org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_16>;
    $stack2 = staticinvoke <org.apache.commons.codec.binary.StringUtils: byte[] getBytes(java.lang.String,java.nio.charset.Charset)>(string, $stack1);

    return $stack2;
}
","/**
 * Encodes the given string into a sequence of bytes using the UTF-16 charset, storing the result into a new byte
 * array.
 *
 * @param string
 *            the String to encode, may be <code>null</code>
 * @return encoded bytes, or <code>null</code> if the input string was <code>null</code>
 * @throws NullPointerException
 *             Thrown if {@link Charsets#UTF_16} is not initialized, which should never happen since it is
 *             required by the Java platform specification.
 * @since As of 1.7, throws {@link NullPointerException} instead of UnsupportedEncodingException
 * @see <a href=""http://download.oracle.com/javase/6/docs/api/java/nio/charset/Charset.html"">Standard charsets</a>
 * @see #getBytesUnchecked(String, String)
 */
public static byte[] getBytesUtf16(final String string) {
    return getBytes(string, Charsets.UTF_16);
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16Be(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
org.apache.commons.codec.binary.StringUtils.getBytesUtf16Be(java.lang.String),byte[] getBytesUtf16Be(java.lang.String),"{
    java.lang.String string;
    unknown $stack1, $stack2;


    string := @parameter0: java.lang.String;
    $stack1 = <org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_16BE>;
    $stack2 = staticinvoke <org.apache.commons.codec.binary.StringUtils: byte[] getBytes(java.lang.String,java.nio.charset.Charset)>(string, $stack1);

    return $stack2;
}
","/**
 * Encodes the given string into a sequence of bytes using the UTF-16BE charset, storing the result into a new byte
 * array.
 *
 * @param string
 *            the String to encode, may be <code>null</code>
 * @return encoded bytes, or <code>null</code> if the input string was <code>null</code>
 * @throws NullPointerException
 *             Thrown if {@link Charsets#UTF_16BE} is not initialized, which should never happen since it is
 *             required by the Java platform specification.
 * @since As of 1.7, throws {@link NullPointerException} instead of UnsupportedEncodingException
 * @see <a href=""http://download.oracle.com/javase/6/docs/api/java/nio/charset/Charset.html"">Standard charsets</a>
 * @see #getBytesUnchecked(String, String)
 */
public static byte[] getBytesUtf16Be(final String string) {
    return getBytes(string, Charsets.UTF_16BE);
}",unavailable,"equals(CharSequence, CharSequence) | public static
getBytes(String, Charset) | private static
getByteBuffer(String, Charset) | private static
getByteBufferUtf8(String) | public static
getBytesIso8859_1(String) | public static
getBytesUnchecked(String, String) | public static
getBytesUsAscii(String) | public static
getBytesUtf16(String) | public static
getBytesUtf16Le(String) | public static
getBytesUtf8(String) | public static
newIllegalStateException(String, UnsupportedEncodingException) | private static
newString(byte[], Charset) | private static
newString(byte[], String) | public static
newStringIso8859_1(byte[]) | public static
newStringUsAscii(byte[]) | public static
newStringUtf16(byte[]) | public static
newStringUtf16Be(byte[]) | public static
newStringUtf16Le(byte[]) | public static
newStringUtf8(byte[]) | public static",public static
