suite,project_key,included_row_count,executed_test_classes,passed_test_classes,class_pass_rate_pct,executed_test_methods,passed_test_methods,method_pass_rate_pct,lines_covered,lines_total,line_coverage_pct,branches_covered,branches_total,branch_coverage_pct,bug_identified
baseline,codec,53,52,35,67.31,183,163,89.07,39,39,100.0,19,20,95.0,yes
baseline,collections,44,11,4,36.36,31,21,67.74,61,127,48.03,20,50,40.0,yes
baseline,compress,50,47,10,21.28,187,109,58.29,150,171,87.72,95,108,87.96,yes
baseline,overall,147,110,49,44.55,401,293,73.07,250,337,74.18,134,178,75.28,3/3
final_combined,codec,53,52,35,67.31,183,163,89.07,39,39,100.0,19,20,95.0,yes
final_combined,collections,45,12,5,41.67,34,24,70.59,117,127,92.13,43,50,86.0,yes
final_combined,compress,50,50,49,98.0,121,120,99.17,138,171,80.7,83,108,76.85,yes
final_combined,overall,148,114,89,78.07,338,307,90.83,294,337,87.24,145,178,81.46,3/3
optimized_broad_coverage,codec,52,51,35,68.63,179,160,89.39,38,39,97.44,18,20,90.0,no
optimized_broad_coverage,collections,44,11,5,45.45,33,24,72.73,111,127,87.4,43,50,86.0,no
optimized_broad_coverage,compress,49,49,49,100.0,120,120,100.0,121,171,70.76,72,108,66.67,no
optimized_broad_coverage,overall,145,111,89,80.18,332,304,91.57,270,337,80.12,133,178,74.72,0/3
clean_coverage_suite,codec,35,35,35,100.0,123,123,100.0,37,39,94.87,18,20,90.0,no
clean_coverage_suite,collections,5,5,5,100.0,15,15,100.0,101,127,79.53,37,50,74.0,no
clean_coverage_suite,compress,49,49,49,100.0,120,120,100.0,121,171,70.76,72,108,66.67,no
clean_coverage_suite,overall,89,89,89,100.0,258,258,100.0,259,337,76.85,127,178,71.35,0/3
bug_evidence_suite,codec,1,1,0,0.0,4,3,75.0,6,39,15.38,7,20,35.0,yes
bug_evidence_suite,collections,1,1,0,0.0,1,0,0.0,14,127,11.02,1,50,2.0,yes
bug_evidence_suite,compress,1,1,0,0.0,1,0,0.0,47,171,27.49,32,108,29.63,yes
bug_evidence_suite,overall,3,3,0,0.0,6,3,50.0,67,337,19.88,40,178,22.47,3/3
balanced_candidate,codec,36,36,35,97.22,127,126,99.21,38,39,97.44,19,20,95.0,yes
balanced_candidate,collections,6,6,5,83.33,16,15,93.75,107,127,84.25,37,50,74.0,yes
balanced_candidate,compress,36,36,35,97.22,95,94,98.95,126,171,73.68,78,108,72.22,yes
balanced_candidate,overall,78,78,75,96.15,238,235,98.74,271,337,80.42,134,178,75.28,3/3
balanced_quality,codec,36,36,35,97.22,127,126,99.21,38,39,97.44,19,20,95.0,yes
balanced_quality,collections,6,6,5,83.33,16,15,93.75,107,127,84.25,37,50,74.0,yes
balanced_quality,compress,50,50,49,98.0,121,120,99.17,138,171,80.7,83,108,76.85,yes
balanced_quality,overall,92,92,89,96.74,264,261,98.86,283,337,83.98,139,178,78.09,3/3
